Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Guinea-Bissau,Africa,8848,449.593,0,0,0,176,8.943,0,0,0
American Samoa,Western Pacific,8257,14959.146,0,0,0,34,61.598,0,0,0
Liberia,Africa,7998,158.136,0,0,0,294,5.813,0,0,0
Sierra Leone,Africa,7758,97.255,4,0.05,0,125,1.567,0,0,0
Chad,Africa,7631,46.457,4,0.024,0,194,1.181,0,0,0
British Virgin Islands,Americas,7305,24159.143,0,0,0,64,211.661,0,0,0
Saint Kitts and Nevis,Americas,6551,12315.762,2,3.76,2,46,86.479,0,0,0
Turks and Caicos Islands,Americas,6431,16609.846,0,0,0,36,92.98,0,0,0
Cook Islands,Western Pacific,6389,36375.541,0,0,0,1,5.693,0,0,0
Sao Tome and Principe,Africa,6275,2863.218,5,2.281,0,77,35.134,0,0,0
Palau,Western Pacific,5530,30565.996,0,0,0,7,38.691,0,0,0
Saint Barthélemy,Americas,5323,53849.267,0,0,0,5,50.582,0,0,0
Nauru,Western Pacific,4610,42551.228,0,0,0,1,9.23,0,0,0
Anguilla,Americas,3866,25769.897,0,0,0,12,79.989,0,0,0
Kiribati,Western Pacific,3430,2871.518,0,0,0,13,10.883,0,0,0
Wallis and Futuna,Western Pacific,3415,30366.352,0,0,0,7,62.244,0,0,0
Saint Pierre and Miquelon,Americas,3230,55737.705,0,0,0,1,17.256,0,0,0
Saint Helena,Africa,2115,34837.753,70,1153.023,0,0,0,0,0,0
Falkland Islands (Malvinas),Americas,1930,55412.001,7,200.976,7,0,0,0,0,0
Montserrat,Americas,1403,28065.613,0,0,0,8,160.032,0,0,0
Sint Eustatius,Americas,1204,38356.164,0,0,0,5,159.286,0,0,0
Other,Other,764,,0,,0,13,,0,,0
Saba,Americas,732,37868.598,0,0,0,2,103.466,0,0,0
Tuvalu,Western Pacific,466,3951.832,443,3756.784,0,0,0,0,0,0
Niue,Western Pacific,85,5253.399,0,0,0,0,0,0,0,0
Holy See,Europe,26,3213.844,0,0,0,0,0,0,0,0
Pitcairn Islands,Western Pacific,4,8000,0,0,0,0,0,0,0,0
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0
